anio,observaciones_departamento_semana,semanas_departamento_positivas,inicios_semana,porcentaje_semanas_departamento_positivas,detecciones_totales,variacion_interanual_pct
2018,1007,354,53,35.15392254220457,914,
2019,988,420,52,42.51012145748988,1171,28.118161925601747
2020,988,468,52,47.368421052631575,1738,48.420153714773704
2021,988,345,52,34.91902834008097,1046,-39.81588032220944
2022,988,371,52,37.550607287449395,1130,8.030592734225618
2023,988,373,52,37.75303643724696,898,-20.53097345132744
2024,1007,269,53,26.713008937437934,581,-35.30066815144765
2025,988,361,52,36.53846153846153,1040,79.00172117039588
