alcance,observaciones,ceros,positivos,porcentaje_ceros,porcentaje_positivos,minimo,maximo,media,mediana,desviacion_estandar,q1,q3,p90,p95,p99
todas,7942,4981,2961,62.717199697809114,37.282800302190886,0,173,1.0725258121380006,0.0,3.1403036085441807,0.0,1.0,3.0,5.0,11.0
solo_positivas,2961,0,2961,0.0,100.0,1,173,2.8767308341776427,2.0,4.611311252898287,1.0,3.0,6.0,8.0,15.400000000000091
