cantidad_detecciones,observaciones,porcentaje_positivas,porcentaje_acumulado
1,1239,41.843971631205676,41.843971631205676
2,661,22.32353934481594,64.16751097602162
3,375,12.664640324214794,76.8321513002364
4,233,7.868963188112124,84.70111448834852
5,132,4.4579533941236065,89.15906788247213
6,80,2.701789935832489,91.86085781830462
7,67,2.2627490712597096,94.12360688956433
8,38,1.2833502195204323,95.40695710908476
9,30,1.0131712259371835,96.42012833502194
10,23,0.7767646065518407,97.19689294157378
11,15,0.5065856129685917,97.70347855454237
12,13,0.4390408645727794,98.14251941911515
13,14,0.4728132387706856,98.61533265788583
14,8,0.2701789935832489,98.88551165146907
15,3,0.10131712259371835,98.98682877406279
16,7,0.2364066193853428,99.22323539344814
17,5,0.16886187098953057,99.39209726443767
18,3,0.10131712259371835,99.49341438703138
19,2,0.06754474839581223,99.5609591354272
20,2,0.06754474839581223,99.62850388382302
21,3,0.10131712259371835,99.72982100641673
22,1,0.033772374197906116,99.76359338061464
23,2,0.06754474839581223,99.83113812901045
27,1,0.033772374197906116,99.86491050320836
29,1,0.033772374197906116,99.89868287740627
38,1,0.033772374197906116,99.93245525160418
100,1,0.033772374197906116,99.96622762580209
173,1,0.033772374197906116,100.0
