anio,casos_altos,porcentaje_casos_altos
2018,73,10.641399416909621
2019,95,13.848396501457728
2020,167,24.34402332361516
2021,73,10.641399416909621
2022,81,11.807580174927114
2023,68,9.912536443148689
2024,39,5.685131195335277
2025,90,13.119533527696792
