departamento,departamento_iso,anio,numero_semana,fecha_inicio_semana,fecha_fin_semana,cantidad_detecciones,superficie_km2,detecciones_por_1000_km2
Durazno,UY-DU,2019,27,2019-07-08,2019-07-14,0,12228.10425056514,0.0
Flores,UY-FS,2019,27,2019-07-08,2019-07-14,0,5140.77049712524,0.0
Florida,UY-FD,2019,27,2019-07-08,2019-07-14,5,10405.572253242583,0.48051177564423725
Lavalleja,UY-LA,2019,27,2019-07-08,2019-07-14,0,10031.272844140674,0.0
Maldonado,UY-MA,2019,27,2019-07-08,2019-07-14,0,4803.260185508939,0.0
Montevideo,UY-MO,2019,27,2019-07-08,2019-07-14,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,27,2019-07-08,2019-07-14,0,14088.526169172621,0.0
Rivera,UY-RV,2019,27,2019-07-08,2019-07-14,2,9329.550532265199,0.21437259952483514
Rocha,UY-RO,2019,27,2019-07-08,2019-07-14,0,10558.553826772255,0.0
Río Negro,UY-RN,2019,27,2019-07-08,2019-07-14,0,9810.67596839813,0.0
Salto,UY-SA,2019,27,2019-07-08,2019-07-14,0,14170.87435119916,0.0
San José,UY-SJ,2019,27,2019-07-08,2019-07-14,0,5002.920653176918,0.0
Soriano,UY-SO,2019,27,2019-07-08,2019-07-14,2,9122.538742945157,0.21923721634470275
Tacuarembó,UY-TA,2019,27,2019-07-08,2019-07-14,1,15973.367767510354,0.06260420560991455
Treinta y Tres,UY-TT,2019,27,2019-07-08,2019-07-14,0,9285.005878360264,0.0
Artigas,UY-AR,2019,28,2019-07-15,2019-07-21,4,12010.600679730765,0.3330391299038397
Canelones,UY-CA,2019,28,2019-07-15,2019-07-21,1,4520.87871068126,0.22119593645309454
Cerro Largo,UY-CL,2019,28,2019-07-15,2019-07-21,9,13655.557447815512,0.6590723252707443
Colonia,UY-CO,2019,28,2019-07-15,2019-07-21,1,6112.026851866528,0.16361184664864717
Durazno,UY-DU,2019,28,2019-07-15,2019-07-21,3,12228.10425056514,0.2453364755915743
Flores,UY-FS,2019,28,2019-07-15,2019-07-21,1,5140.77049712524,0.1945233697087252
Florida,UY-FD,2019,28,2019-07-15,2019-07-21,1,10405.572253242583,0.09610235512884745
Lavalleja,UY-LA,2019,28,2019-07-15,2019-07-21,1,10031.272844140674,0.09968824650045341
Maldonado,UY-MA,2019,28,2019-07-15,2019-07-21,0,4803.260185508939,0.0
Montevideo,UY-MO,2019,28,2019-07-15,2019-07-21,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,28,2019-07-15,2019-07-21,6,14088.526169172621,0.4258784721661459
Rivera,UY-RV,2019,28,2019-07-15,2019-07-21,3,9329.550532265199,0.32155889928725273
Rocha,UY-RO,2019,28,2019-07-15,2019-07-21,3,10558.553826772255,0.28412982016469
Río Negro,UY-RN,2019,28,2019-07-15,2019-07-21,0,9810.67596839813,0.0
Salto,UY-SA,2019,28,2019-07-15,2019-07-21,0,14170.87435119916,0.0
San José,UY-SJ,2019,28,2019-07-15,2019-07-21,1,5002.920653176918,0.19988324207480432
Soriano,UY-SO,2019,28,2019-07-15,2019-07-21,2,9122.538742945157,0.21923721634470275
Tacuarembó,UY-TA,2019,28,2019-07-15,2019-07-21,4,15973.367767510354,0.2504168224396582
Treinta y Tres,UY-TT,2019,28,2019-07-15,2019-07-21,0,9285.005878360264,0.0
Artigas,UY-AR,2019,29,2019-07-22,2019-07-28,0,12010.600679730765,0.0
Canelones,UY-CA,2019,29,2019-07-22,2019-07-28,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2019,29,2019-07-22,2019-07-28,0,13655.557447815512,0.0
Colonia,UY-CO,2019,29,2019-07-22,2019-07-28,0,6112.026851866528,0.0
Durazno,UY-DU,2019,29,2019-07-22,2019-07-28,0,12228.10425056514,0.0
Flores,UY-FS,2019,29,2019-07-22,2019-07-28,0,5140.77049712524,0.0
Florida,UY-FD,2019,29,2019-07-22,2019-07-28,0,10405.572253242583,0.0
Lavalleja,UY-LA,2019,29,2019-07-22,2019-07-28,0,10031.272844140674,0.0
Maldonado,UY-MA,2019,29,2019-07-22,2019-07-28,0,4803.260185508939,0.0
Montevideo,UY-MO,2019,29,2019-07-22,2019-07-28,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,29,2019-07-22,2019-07-28,0,14088.526169172621,0.0
Rivera,UY-RV,2019,29,2019-07-22,2019-07-28,0,9329.550532265199,0.0
Rocha,UY-RO,2019,29,2019-07-22,2019-07-28,0,10558.553826772255,0.0
Río Negro,UY-RN,2019,29,2019-07-22,2019-07-28,0,9810.67596839813,0.0
Salto,UY-SA,2019,29,2019-07-22,2019-07-28,0,14170.87435119916,0.0
San José,UY-SJ,2019,29,2019-07-22,2019-07-28,0,5002.920653176918,0.0
Soriano,UY-SO,2019,29,2019-07-22,2019-07-28,0,9122.538742945157,0.0
Tacuarembó,UY-TA,2019,29,2019-07-22,2019-07-28,0,15973.367767510354,0.0
Treinta y Tres,UY-TT,2019,29,2019-07-22,2019-07-28,0,9285.005878360264,0.0
Artigas,UY-AR,2019,30,2019-07-29,2019-08-04,4,12010.600679730765,0.3330391299038397
Canelones,UY-CA,2019,30,2019-07-29,2019-08-04,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2019,30,2019-07-29,2019-08-04,3,13655.557447815512,0.2196907750902481
Colonia,UY-CO,2019,30,2019-07-29,2019-08-04,0,6112.026851866528,0.0
Durazno,UY-DU,2019,30,2019-07-29,2019-08-04,3,12228.10425056514,0.2453364755915743
Flores,UY-FS,2019,30,2019-07-29,2019-08-04,0,5140.77049712524,0.0
Florida,UY-FD,2019,30,2019-07-29,2019-08-04,0,10405.572253242583,0.0
Lavalleja,UY-LA,2019,30,2019-07-29,2019-08-04,2,10031.272844140674,0.19937649300090682
Maldonado,UY-MA,2019,30,2019-07-29,2019-08-04,1,4803.260185508939,0.20819192826924554
Montevideo,UY-MO,2019,30,2019-07-29,2019-08-04,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,30,2019-07-29,2019-08-04,3,14088.526169172621,0.21293923608307294
Rivera,UY-RV,2019,30,2019-07-29,2019-08-04,0,9329.550532265199,0.0
Rocha,UY-RO,2019,30,2019-07-29,2019-08-04,2,10558.553826772255,0.1894198801097933
Río Negro,UY-RN,2019,30,2019-07-29,2019-08-04,2,9810.67596839813,0.20385955121159266
Salto,UY-SA,2019,30,2019-07-29,2019-08-04,0,14170.87435119916,0.0
San José,UY-SJ,2019,30,2019-07-29,2019-08-04,2,5002.920653176918,0.39976648414960864
Soriano,UY-SO,2019,30,2019-07-29,2019-08-04,1,9122.538742945157,0.10961860817235138
Tacuarembó,UY-TA,2019,30,2019-07-29,2019-08-04,1,15973.367767510354,0.06260420560991455
Treinta y Tres,UY-TT,2019,30,2019-07-29,2019-08-04,2,9285.005878360264,0.2154010483354913
Artigas,UY-AR,2019,31,2019-08-05,2019-08-11,5,12010.600679730765,0.41629891237979966
Canelones,UY-CA,2019,31,2019-08-05,2019-08-11,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2019,31,2019-08-05,2019-08-11,10,13655.557447815512,0.7323025836341603
Colonia,UY-CO,2019,31,2019-08-05,2019-08-11,6,6112.026851866528,0.981671079891883
Durazno,UY-DU,2019,31,2019-08-05,2019-08-11,4,12228.10425056514,0.3271153007887657
Flores,UY-FS,2019,31,2019-08-05,2019-08-11,1,5140.77049712524,0.1945233697087252
Florida,UY-FD,2019,31,2019-08-05,2019-08-11,1,10405.572253242583,0.09610235512884745
Lavalleja,UY-LA,2019,31,2019-08-05,2019-08-11,2,10031.272844140674,0.19937649300090682
Maldonado,UY-MA,2019,31,2019-08-05,2019-08-11,0,4803.260185508939,0.0
Montevideo,UY-MO,2019,31,2019-08-05,2019-08-11,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,31,2019-08-05,2019-08-11,2,14088.526169172621,0.1419594907220486
Rivera,UY-RV,2019,31,2019-08-05,2019-08-11,0,9329.550532265199,0.0
Rocha,UY-RO,2019,31,2019-08-05,2019-08-11,1,10558.553826772255,0.09470994005489665
Río Negro,UY-RN,2019,31,2019-08-05,2019-08-11,5,9810.67596839813,0.5096488780289816
Salto,UY-SA,2019,31,2019-08-05,2019-08-11,0,14170.87435119916,0.0
San José,UY-SJ,2019,31,2019-08-05,2019-08-11,3,5002.920653176918,0.5996497262244129
Soriano,UY-SO,2019,31,2019-08-05,2019-08-11,16,9122.538742945157,1.753897730757622
Tacuarembó,UY-TA,2019,31,2019-08-05,2019-08-11,1,15973.367767510354,0.06260420560991455
Treinta y Tres,UY-TT,2019,31,2019-08-05,2019-08-11,5,9285.005878360264,0.5385026208387282
Artigas,UY-AR,2019,32,2019-08-12,2019-08-18,6,12010.600679730765,0.4995586948557596
Canelones,UY-CA,2019,32,2019-08-12,2019-08-18,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2019,32,2019-08-12,2019-08-18,4,13655.557447815512,0.2929210334536641
Colonia,UY-CO,2019,32,2019-08-12,2019-08-18,1,6112.026851866528,0.16361184664864717
Durazno,UY-DU,2019,32,2019-08-12,2019-08-18,3,12228.10425056514,0.2453364755915743
Flores,UY-FS,2019,32,2019-08-12,2019-08-18,0,5140.77049712524,0.0
Florida,UY-FD,2019,32,2019-08-12,2019-08-18,1,10405.572253242583,0.09610235512884745
Lavalleja,UY-LA,2019,32,2019-08-12,2019-08-18,4,10031.272844140674,0.39875298600181364
Maldonado,UY-MA,2019,32,2019-08-12,2019-08-18,0,4803.260185508939,0.0
Montevideo,UY-MO,2019,32,2019-08-12,2019-08-18,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,32,2019-08-12,2019-08-18,5,14088.526169172621,0.3548987268051216
Rivera,UY-RV,2019,32,2019-08-12,2019-08-18,3,9329.550532265199,0.32155889928725273
Rocha,UY-RO,2019,32,2019-08-12,2019-08-18,0,10558.553826772255,0.0
Río Negro,UY-RN,2019,32,2019-08-12,2019-08-18,7,9810.67596839813,0.7135084292405742
Salto,UY-SA,2019,32,2019-08-12,2019-08-18,2,14170.87435119916,0.14113455178796058
San José,UY-SJ,2019,32,2019-08-12,2019-08-18,1,5002.920653176918,0.19988324207480432
Soriano,UY-SO,2019,32,2019-08-12,2019-08-18,3,9122.538742945157,0.32885582451705414
Tacuarembó,UY-TA,2019,32,2019-08-12,2019-08-18,0,15973.367767510354,0.0
Treinta y Tres,UY-TT,2019,32,2019-08-12,2019-08-18,1,9285.005878360264,0.10770052416774566
Artigas,UY-AR,2019,33,2019-08-19,2019-08-25,9,12010.600679730765,0.7493380422836394
Canelones,UY-CA,2019,33,2019-08-19,2019-08-25,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2019,33,2019-08-19,2019-08-25,10,13655.557447815512,0.7323025836341603
Colonia,UY-CO,2019,33,2019-08-19,2019-08-25,1,6112.026851866528,0.16361184664864717
Durazno,UY-DU,2019,33,2019-08-19,2019-08-25,8,12228.10425056514,0.6542306015775314
Flores,UY-FS,2019,33,2019-08-19,2019-08-25,2,5140.77049712524,0.3890467394174504
Florida,UY-FD,2019,33,2019-08-19,2019-08-25,2,10405.572253242583,0.1922047102576949
Lavalleja,UY-LA,2019,33,2019-08-19,2019-08-25,3,10031.272844140674,0.29906473950136025
Maldonado,UY-MA,2019,33,2019-08-19,2019-08-25,6,4803.260185508939,1.2491515696154734
Montevideo,UY-MO,2019,33,2019-08-19,2019-08-25,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,33,2019-08-19,2019-08-25,6,14088.526169172621,0.4258784721661459
Rivera,UY-RV,2019,33,2019-08-19,2019-08-25,3,9329.550532265199,0.32155889928725273
Rocha,UY-RO,2019,33,2019-08-19,2019-08-25,6,10558.553826772255,0.56825964032938
Río Negro,UY-RN,2019,33,2019-08-19,2019-08-25,6,9810.67596839813,0.6115786536347779
Salto,UY-SA,2019,33,2019-08-19,2019-08-25,0,14170.87435119916,0.0
San José,UY-SJ,2019,33,2019-08-19,2019-08-25,0,5002.920653176918,0.0
Soriano,UY-SO,2019,33,2019-08-19,2019-08-25,10,9122.538742945157,1.0961860817235136
Tacuarembó,UY-TA,2019,33,2019-08-19,2019-08-25,6,15973.367767510354,0.3756252336594873
Treinta y Tres,UY-TT,2019,33,2019-08-19,2019-08-25,5,9285.005878360264,0.5385026208387282
Artigas,UY-AR,2019,34,2019-08-26,2019-09-01,2,12010.600679730765,0.16651956495191986
Canelones,UY-CA,2019,34,2019-08-26,2019-09-01,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2019,34,2019-08-26,2019-09-01,2,13655.557447815512,0.14646051672683205
Colonia,UY-CO,2019,34,2019-08-26,2019-09-01,1,6112.026851866528,0.16361184664864717
Durazno,UY-DU,2019,34,2019-08-26,2019-09-01,1,12228.10425056514,0.08177882519719143
Flores,UY-FS,2019,34,2019-08-26,2019-09-01,0,5140.77049712524,0.0
Florida,UY-FD,2019,34,2019-08-26,2019-09-01,0,10405.572253242583,0.0
Lavalleja,UY-LA,2019,34,2019-08-26,2019-09-01,1,10031.272844140674,0.09968824650045341
Maldonado,UY-MA,2019,34,2019-08-26,2019-09-01,5,4803.260185508939,1.0409596413462279
Montevideo,UY-MO,2019,34,2019-08-26,2019-09-01,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,34,2019-08-26,2019-09-01,1,14088.526169172621,0.0709797453610243
Rivera,UY-RV,2019,34,2019-08-26,2019-09-01,3,9329.550532265199,0.32155889928725273
Rocha,UY-RO,2019,34,2019-08-26,2019-09-01,2,10558.553826772255,0.1894198801097933
Río Negro,UY-RN,2019,34,2019-08-26,2019-09-01,0,9810.67596839813,0.0
Salto,UY-SA,2019,34,2019-08-26,2019-09-01,0,14170.87435119916,0.0
San José,UY-SJ,2019,34,2019-08-26,2019-09-01,1,5002.920653176918,0.19988324207480432
Soriano,UY-SO,2019,34,2019-08-26,2019-09-01,7,9122.538742945157,0.7673302572064596
Tacuarembó,UY-TA,2019,34,2019-08-26,2019-09-01,3,15973.367767510354,0.18781261682974365
Treinta y Tres,UY-TT,2019,34,2019-08-26,2019-09-01,0,9285.005878360264,0.0
Artigas,UY-AR,2019,35,2019-09-02,2019-09-08,4,12010.600679730765,0.3330391299038397
Canelones,UY-CA,2019,35,2019-09-02,2019-09-08,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2019,35,2019-09-02,2019-09-08,12,13655.557447815512,0.8787631003609924
Colonia,UY-CO,2019,35,2019-09-02,2019-09-08,0,6112.026851866528,0.0
Durazno,UY-DU,2019,35,2019-09-02,2019-09-08,3,12228.10425056514,0.2453364755915743
Flores,UY-FS,2019,35,2019-09-02,2019-09-08,4,5140.77049712524,0.7780934788349008
Florida,UY-FD,2019,35,2019-09-02,2019-09-08,2,10405.572253242583,0.1922047102576949
Lavalleja,UY-LA,2019,35,2019-09-02,2019-09-08,2,10031.272844140674,0.19937649300090682
Maldonado,UY-MA,2019,35,2019-09-02,2019-09-08,3,4803.260185508939,0.6245757848077367
Montevideo,UY-MO,2019,35,2019-09-02,2019-09-08,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,35,2019-09-02,2019-09-08,4,14088.526169172621,0.2839189814440972
Rivera,UY-RV,2019,35,2019-09-02,2019-09-08,8,9329.550532265199,0.8574903980993406
Rocha,UY-RO,2019,35,2019-09-02,2019-09-08,11,10558.553826772255,1.0418093406038633
Río Negro,UY-RN,2019,35,2019-09-02,2019-09-08,1,9810.67596839813,0.10192977560579633
Salto,UY-SA,2019,35,2019-09-02,2019-09-08,4,14170.87435119916,0.28226910357592117
San José,UY-SJ,2019,35,2019-09-02,2019-09-08,3,5002.920653176918,0.5996497262244129
Soriano,UY-SO,2019,35,2019-09-02,2019-09-08,5,9122.538742945157,0.5480930408617568
Tacuarembó,UY-TA,2019,35,2019-09-02,2019-09-08,2,15973.367767510354,0.1252084112198291
Treinta y Tres,UY-TT,2019,35,2019-09-02,2019-09-08,5,9285.005878360264,0.5385026208387282
Artigas,UY-AR,2019,36,2019-09-09,2019-09-15,3,12010.600679730765,0.2497793474278798
Canelones,UY-CA,2019,36,2019-09-09,2019-09-15,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2019,36,2019-09-09,2019-09-15,1,13655.557447815512,0.07323025836341603
Colonia,UY-CO,2019,36,2019-09-09,2019-09-15,0,6112.026851866528,0.0
Durazno,UY-DU,2019,36,2019-09-09,2019-09-15,1,12228.10425056514,0.08177882519719143
Flores,UY-FS,2019,36,2019-09-09,2019-09-15,0,5140.77049712524,0.0
Florida,UY-FD,2019,36,2019-09-09,2019-09-15,2,10405.572253242583,0.1922047102576949
Lavalleja,UY-LA,2019,36,2019-09-09,2019-09-15,4,10031.272844140674,0.39875298600181364
Maldonado,UY-MA,2019,36,2019-09-09,2019-09-15,0,4803.260185508939,0.0
Montevideo,UY-MO,2019,36,2019-09-09,2019-09-15,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,36,2019-09-09,2019-09-15,0,14088.526169172621,0.0
Rivera,UY-RV,2019,36,2019-09-09,2019-09-15,0,9329.550532265199,0.0
Rocha,UY-RO,2019,36,2019-09-09,2019-09-15,3,10558.553826772255,0.28412982016469
Río Negro,UY-RN,2019,36,2019-09-09,2019-09-15,0,9810.67596839813,0.0
Salto,UY-SA,2019,36,2019-09-09,2019-09-15,0,14170.87435119916,0.0
San José,UY-SJ,2019,36,2019-09-09,2019-09-15,1,5002.920653176918,0.19988324207480432
Soriano,UY-SO,2019,36,2019-09-09,2019-09-15,0,9122.538742945157,0.0
Tacuarembó,UY-TA,2019,36,2019-09-09,2019-09-15,3,15973.367767510354,0.18781261682974365
Treinta y Tres,UY-TT,2019,36,2019-09-09,2019-09-15,2,9285.005878360264,0.2154010483354913
Artigas,UY-AR,2019,37,2019-09-16,2019-09-22,6,12010.600679730765,0.4995586948557596
Canelones,UY-CA,2019,37,2019-09-16,2019-09-22,3,4520.87871068126,0.6635878093592836
Cerro Largo,UY-CL,2019,37,2019-09-16,2019-09-22,10,13655.557447815512,0.7323025836341603
Colonia,UY-CO,2019,37,2019-09-16,2019-09-22,5,6112.026851866528,0.8180592332432358
Durazno,UY-DU,2019,37,2019-09-16,2019-09-22,2,12228.10425056514,0.16355765039438286
Flores,UY-FS,2019,37,2019-09-16,2019-09-22,7,5140.77049712524,1.3616635879610763
Florida,UY-FD,2019,37,2019-09-16,2019-09-22,6,10405.572253242583,0.5766141307730847
Lavalleja,UY-LA,2019,37,2019-09-16,2019-09-22,1,10031.272844140674,0.09968824650045341
Maldonado,UY-MA,2019,37,2019-09-16,2019-09-22,3,4803.260185508939,0.6245757848077367
Montevideo,UY-MO,2019,37,2019-09-16,2019-09-22,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,37,2019-09-16,2019-09-22,2,14088.526169172621,0.1419594907220486
Rivera,UY-RV,2019,37,2019-09-16,2019-09-22,6,9329.550532265199,0.6431177985745055
Rocha,UY-RO,2019,37,2019-09-16,2019-09-22,6,10558.553826772255,0.56825964032938
Río Negro,UY-RN,2019,37,2019-09-16,2019-09-22,0,9810.67596839813,0.0
Salto,UY-SA,2019,37,2019-09-16,2019-09-22,1,14170.87435119916,0.07056727589398029
San José,UY-SJ,2019,37,2019-09-16,2019-09-22,9,5002.920653176918,1.798949178673239
Soriano,UY-SO,2019,37,2019-09-16,2019-09-22,6,9122.538742945157,0.6577116490341083
Tacuarembó,UY-TA,2019,37,2019-09-16,2019-09-22,3,15973.367767510354,0.18781261682974365
Treinta y Tres,UY-TT,2019,37,2019-09-16,2019-09-22,2,9285.005878360264,0.2154010483354913
Artigas,UY-AR,2019,38,2019-09-23,2019-09-29,6,12010.600679730765,0.4995586948557596
Canelones,UY-CA,2019,38,2019-09-23,2019-09-29,1,4520.87871068126,0.22119593645309454
Cerro Largo,UY-CL,2019,38,2019-09-23,2019-09-29,7,13655.557447815512,0.5126118085439122
Colonia,UY-CO,2019,38,2019-09-23,2019-09-29,3,6112.026851866528,0.4908355399459415
Durazno,UY-DU,2019,38,2019-09-23,2019-09-29,3,12228.10425056514,0.2453364755915743
Flores,UY-FS,2019,38,2019-09-23,2019-09-29,0,5140.77049712524,0.0
Florida,UY-FD,2019,38,2019-09-23,2019-09-29,3,10405.572253242583,0.2883070653865423
Lavalleja,UY-LA,2019,38,2019-09-23,2019-09-29,7,10031.272844140674,0.6978177255031739
Maldonado,UY-MA,2019,38,2019-09-23,2019-09-29,6,4803.260185508939,1.2491515696154734
Montevideo,UY-MO,2019,38,2019-09-23,2019-09-29,1,527.7536386520376,1.8948235061991252
Paysandú,UY-PA,2019,38,2019-09-23,2019-09-29,3,14088.526169172621,0.21293923608307294
Rivera,UY-RV,2019,38,2019-09-23,2019-09-29,3,9329.550532265199,0.32155889928725273
Rocha,UY-RO,2019,38,2019-09-23,2019-09-29,13,10558.553826772255,1.2312292207136564
Río Negro,UY-RN,2019,38,2019-09-23,2019-09-29,1,9810.67596839813,0.10192977560579633
Salto,UY-SA,2019,38,2019-09-23,2019-09-29,0,14170.87435119916,0.0
San José,UY-SJ,2019,38,2019-09-23,2019-09-29,9,5002.920653176918,1.798949178673239
Soriano,UY-SO,2019,38,2019-09-23,2019-09-29,6,9122.538742945157,0.6577116490341083
Tacuarembó,UY-TA,2019,38,2019-09-23,2019-09-29,10,15973.367767510354,0.6260420560991455
Treinta y Tres,UY-TT,2019,38,2019-09-23,2019-09-29,14,9285.005878360264,1.5078073383484392
Artigas,UY-AR,2019,39,2019-09-30,2019-10-06,0,12010.600679730765,0.0
Canelones,UY-CA,2019,39,2019-09-30,2019-10-06,3,4520.87871068126,0.6635878093592836
Cerro Largo,UY-CL,2019,39,2019-09-30,2019-10-06,2,13655.557447815512,0.14646051672683205
Colonia,UY-CO,2019,39,2019-09-30,2019-10-06,0,6112.026851866528,0.0
Durazno,UY-DU,2019,39,2019-09-30,2019-10-06,2,12228.10425056514,0.16355765039438286
Flores,UY-FS,2019,39,2019-09-30,2019-10-06,0,5140.77049712524,0.0
Florida,UY-FD,2019,39,2019-09-30,2019-10-06,1,10405.572253242583,0.09610235512884745
Lavalleja,UY-LA,2019,39,2019-09-30,2019-10-06,1,10031.272844140674,0.09968824650045341
Maldonado,UY-MA,2019,39,2019-09-30,2019-10-06,1,4803.260185508939,0.20819192826924554
Montevideo,UY-MO,2019,39,2019-09-30,2019-10-06,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,39,2019-09-30,2019-10-06,0,14088.526169172621,0.0
Rivera,UY-RV,2019,39,2019-09-30,2019-10-06,3,9329.550532265199,0.32155889928725273
Rocha,UY-RO,2019,39,2019-09-30,2019-10-06,1,10558.553826772255,0.09470994005489665
Río Negro,UY-RN,2019,39,2019-09-30,2019-10-06,0,9810.67596839813,0.0
Salto,UY-SA,2019,39,2019-09-30,2019-10-06,0,14170.87435119916,0.0
San José,UY-SJ,2019,39,2019-09-30,2019-10-06,1,5002.920653176918,0.19988324207480432
Soriano,UY-SO,2019,39,2019-09-30,2019-10-06,1,9122.538742945157,0.10961860817235138
Tacuarembó,UY-TA,2019,39,2019-09-30,2019-10-06,3,15973.367767510354,0.18781261682974365
Treinta y Tres,UY-TT,2019,39,2019-09-30,2019-10-06,3,9285.005878360264,0.32310157250323696
Artigas,UY-AR,2019,40,2019-10-07,2019-10-13,4,12010.600679730765,0.3330391299038397
Canelones,UY-CA,2019,40,2019-10-07,2019-10-13,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2019,40,2019-10-07,2019-10-13,2,13655.557447815512,0.14646051672683205
Colonia,UY-CO,2019,40,2019-10-07,2019-10-13,1,6112.026851866528,0.16361184664864717
Durazno,UY-DU,2019,40,2019-10-07,2019-10-13,5,12228.10425056514,0.4088941259859571
Flores,UY-FS,2019,40,2019-10-07,2019-10-13,0,5140.77049712524,0.0
Florida,UY-FD,2019,40,2019-10-07,2019-10-13,2,10405.572253242583,0.1922047102576949
Lavalleja,UY-LA,2019,40,2019-10-07,2019-10-13,3,10031.272844140674,0.29906473950136025
Maldonado,UY-MA,2019,40,2019-10-07,2019-10-13,1,4803.260185508939,0.20819192826924554
Montevideo,UY-MO,2019,40,2019-10-07,2019-10-13,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,40,2019-10-07,2019-10-13,2,14088.526169172621,0.1419594907220486
Rivera,UY-RV,2019,40,2019-10-07,2019-10-13,0,9329.550532265199,0.0
Rocha,UY-RO,2019,40,2019-10-07,2019-10-13,2,10558.553826772255,0.1894198801097933
Río Negro,UY-RN,2019,40,2019-10-07,2019-10-13,1,9810.67596839813,0.10192977560579633
Salto,UY-SA,2019,40,2019-10-07,2019-10-13,0,14170.87435119916,0.0
San José,UY-SJ,2019,40,2019-10-07,2019-10-13,0,5002.920653176918,0.0
Soriano,UY-SO,2019,40,2019-10-07,2019-10-13,1,9122.538742945157,0.10961860817235138
Tacuarembó,UY-TA,2019,40,2019-10-07,2019-10-13,0,15973.367767510354,0.0
Treinta y Tres,UY-TT,2019,40,2019-10-07,2019-10-13,4,9285.005878360264,0.4308020966709826
Artigas,UY-AR,2019,41,2019-10-14,2019-10-20,0,12010.600679730765,0.0
Canelones,UY-CA,2019,41,2019-10-14,2019-10-20,0,4520.87871068126,0.0
Cerro Largo,UY-CL,2019,41,2019-10-14,2019-10-20,0,13655.557447815512,0.0
Colonia,UY-CO,2019,41,2019-10-14,2019-10-20,0,6112.026851866528,0.0
Durazno,UY-DU,2019,41,2019-10-14,2019-10-20,0,12228.10425056514,0.0
Flores,UY-FS,2019,41,2019-10-14,2019-10-20,0,5140.77049712524,0.0
Florida,UY-FD,2019,41,2019-10-14,2019-10-20,0,10405.572253242583,0.0
Lavalleja,UY-LA,2019,41,2019-10-14,2019-10-20,0,10031.272844140674,0.0
Maldonado,UY-MA,2019,41,2019-10-14,2019-10-20,0,4803.260185508939,0.0
Montevideo,UY-MO,2019,41,2019-10-14,2019-10-20,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,41,2019-10-14,2019-10-20,0,14088.526169172621,0.0
Rivera,UY-RV,2019,41,2019-10-14,2019-10-20,0,9329.550532265199,0.0
Rocha,UY-RO,2019,41,2019-10-14,2019-10-20,0,10558.553826772255,0.0
Río Negro,UY-RN,2019,41,2019-10-14,2019-10-20,0,9810.67596839813,0.0
Salto,UY-SA,2019,41,2019-10-14,2019-10-20,0,14170.87435119916,0.0
San José,UY-SJ,2019,41,2019-10-14,2019-10-20,1,5002.920653176918,0.19988324207480432
Soriano,UY-SO,2019,41,2019-10-14,2019-10-20,0,9122.538742945157,0.0
Tacuarembó,UY-TA,2019,41,2019-10-14,2019-10-20,0,15973.367767510354,0.0
Treinta y Tres,UY-TT,2019,41,2019-10-14,2019-10-20,0,9285.005878360264,0.0
Artigas,UY-AR,2019,42,2019-10-21,2019-10-27,0,12010.600679730765,0.0
Canelones,UY-CA,2019,42,2019-10-21,2019-10-27,2,4520.87871068126,0.4423918729061891
Cerro Largo,UY-CL,2019,42,2019-10-21,2019-10-27,3,13655.557447815512,0.2196907750902481
Colonia,UY-CO,2019,42,2019-10-21,2019-10-27,1,6112.026851866528,0.16361184664864717
Durazno,UY-DU,2019,42,2019-10-21,2019-10-27,14,12228.10425056514,1.14490355276068
Flores,UY-FS,2019,42,2019-10-21,2019-10-27,1,5140.77049712524,0.1945233697087252
Florida,UY-FD,2019,42,2019-10-21,2019-10-27,0,10405.572253242583,0.0
Lavalleja,UY-LA,2019,42,2019-10-21,2019-10-27,4,10031.272844140674,0.39875298600181364
Maldonado,UY-MA,2019,42,2019-10-21,2019-10-27,3,4803.260185508939,0.6245757848077367
Montevideo,UY-MO,2019,42,2019-10-21,2019-10-27,0,527.7536386520376,0.0
Paysandú,UY-PA,2019,42,2019-10-21,2019-10-27,0,14088.526169172621,0.0
