coordenada_id,departamento,departamento_iso,metodo_seleccion,crs_generacion,separacion_grilla_m,easting_m,northing_m,fuente_limite,latitud,longitud
URY_CL_G_E675000_N6400000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,675000.0,6400000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.523551,-55.136746
URY_CL_G_E700000_N6375000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,700000.0,6375000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.744694,-54.865369
URY_CL_G_E700000_N6400000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,700000.0,6400000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.519328,-54.870716
URY_CL_G_E725000_N6375000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,725000.0,6375000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.739867,-54.598731
URY_CL_G_E725000_N6400000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,725000.0,6400000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.514542,-54.604744
URY_CL_G_E725000_N6425000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,725000.0,6425000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.289208,-54.61069
URY_CL_G_E750000_N6400000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,750000.0,6400000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.509195,-54.33884
URY_CL_G_E750000_N6425000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,750000.0,6425000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.283907,-54.345444
URY_CL_G_E750000_N6450000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,750000.0,6450000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.05861,-54.351975
URY_CL_G_E750000_N6475000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,750000.0,6475000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-31.833304,-54.358434
URY_CL_G_E775000_N6375000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,775000.0,6375000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.728515,-54.065666
URY_CL_G_E775000_N6400000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,775000.0,6400000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.503287,-54.073009
URY_CL_G_E775000_N6425000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,775000.0,6425000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.27805,-54.080271
URY_CL_G_E775000_N6450000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,775000.0,6450000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.052804,-54.087453
URY_CL_G_E800000_N6375000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,800000.0,6375000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.72199,-53.799253
URY_CL_G_E800000_N6400000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,800000.0,6400000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.496819,-53.80726
URY_CL_G_E800000_N6425000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,800000.0,6425000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.271638,-53.815179
URY_CL_G_E825000_N6375000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,825000.0,6375000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.714901,-53.532929
URY_CL_G_E825000_N6400000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,825000.0,6400000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.489791,-53.5416
URY_CL_G_E850000_N6375000,Cerro Largo,UY-CL,regular_grid_25km,EPSG:32721,25000,850000.0,6375000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.707249,-53.266703
URY_CO_G_E375000_N6250000,Colonia,UY-CO,regular_grid_25km,EPSG:32721,25000,375000.0,6250000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.882951,-58.351679
URY_CO_G_E400000_N6225000,Colonia,UY-CO,regular_grid_25km,EPSG:32721,25000,400000.0,6225000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.111052,-58.084251
