periodo,frecuencia,timestamp_principal,filas_uruguay,departamentos_geometricos,variables
2018-01-01/2024-12-31,diaria,fecha,30775,12,temperature_2m_max;temperature_2m_min;relative_humidity_2m_min;relative_humidity_2m_max;wind_speed_10m_max;wind_direction_10m_dominant;precipitation_sum;et0_fao_evapotranspiration;riesgo_temp;riesgo_humedad;riesgo_viento;riesgo_sequia;indice_riesgo;nivel_riesgo
2025-01-01/2025-12-31,horaria,fecha_hora_utc,166440,19,temperature_2m;relative_humidity_2m;wind_speed_10m;wind_direction_10m;rain;surface_pressure
