frecuencia,registros,duplicados_exactos,duplicados_punto_timestamp,timestamps_invalidos,coordenadas_faltantes,valores_infinitos,nulos_variables_aplicables
diaria,30775,0,0,0,0,0,0
horaria,166440,0,0,0,0,0,0
