coordenada_id,departamento,latitud_reportada,longitud_reportada,pares_modelo_distintos,latitud_modelo,longitud_modelo,coincide_auditoria_previa
URY_LA_G_E650000_N6200000,Lavalleja,-34.3,-55.4,1,-34.3,-55.4,True
URY_LA_G_E650000_N6225000,Lavalleja,-34.1,-55.4,1,-34.1,-55.4,True
URY_LA_G_E675000_N6200000,Lavalleja,-34.3,-55.1,1,-34.3,-55.1,True
URY_LA_G_E675000_N6225000,Lavalleja,-34.1,-55.1,1,-34.1,-55.1,True
URY_LA_G_E675000_N6250000,Lavalleja,-33.899998,-55.1,1,-33.899998,-55.1,True
URY_LA_G_E675000_N6275000,Lavalleja,-33.7,-55.1,1,-33.7,-55.1,True
URY_LA_G_E700000_N6225000,Lavalleja,-34.1,-54.799995,1,-34.1,-54.799995,True
URY_LA_G_E700000_N6250000,Lavalleja,-33.899998,-54.799995,1,-33.899998,-54.799995,True
URY_LA_G_E700000_N6275000,Lavalleja,-33.6,-54.799995,1,-33.6,-54.799995,True
URY_LA_G_E700000_N6300000,Lavalleja,-33.399998,-54.799995,1,-33.399998,-54.799995,True
URY_LA_G_E725000_N6250000,Lavalleja,-33.899998,-54.6,1,-33.899998,-54.6,True
URY_LA_G_E725000_N6275000,Lavalleja,-33.6,-54.6,1,-33.6,-54.6,True
URY_MA_G_E675000_N6150000,Maldonado,-34.8,-55.1,1,-34.8,-55.1,True
URY_MA_G_E700000_N6150000,Maldonado,-34.8,-54.799995,1,-34.8,-54.799995,True
URY_MA_G_E700000_N6175000,Maldonado,-34.5,-54.799995,1,-34.5,-54.799995,True
URY_MO_F_RP_E569972_N6146656,Montevideo,-34.8,-56.199997,1,-34.8,-56.199997,True
URY_PA_G_E400000_N6450000,Paysandú,-32.1,-58.1,1,-32.1,-58.1,True
URY_PA_G_E425000_N6425000,Paysandú,-32.3,-57.799995,1,-32.3,-57.799995,True
URY_PA_G_E425000_N6450000,Paysandú,-32.1,-57.799995,1,-32.1,-57.799995,True
URY_PA_G_E425000_N6475000,Paysandú,-31.899998,-57.799995,1,-31.899998,-57.799995,True
URY_PA_G_E425000_N6500000,Paysandú,-31.599998,-57.799995,1,-31.599998,-57.799995,True
URY_PA_G_E450000_N6425000,Paysandú,-32.3,-57.5,1,-32.3,-57.5,True
URY_PA_G_E450000_N6450000,Paysandú,-32.1,-57.5,1,-32.1,-57.5,True
URY_PA_G_E450000_N6475000,Paysandú,-31.899998,-57.5,1,-31.899998,-57.5,True
URY_PA_G_E475000_N6425000,Paysandú,-32.3,-57.299995,1,-32.3,-57.299995,True
URY_PA_G_E475000_N6450000,Paysandú,-32.1,-57.299995,1,-32.1,-57.299995,True
URY_PA_G_E475000_N6475000,Paysandú,-31.899998,-57.299995,1,-31.899998,-57.299995,True
URY_PA_G_E500000_N6450000,Paysandú,-32.1,-57.0,1,-32.1,-57.0,True
URY_PA_G_E500000_N6475000,Paysandú,-31.899998,-57.0,1,-31.899998,-57.0,True
URY_PA_G_E525000_N6425000,Paysandú,-32.3,-56.699997,1,-32.3,-56.699997,True
URY_PA_G_E525000_N6450000,Paysandú,-32.1,-56.699997,1,-32.1,-56.699997,True
URY_PA_G_E550000_N6450000,Paysandú,-32.1,-56.5,1,-32.1,-56.5,True
URY_RN_G_E425000_N6375000,Río Negro,-32.8,-57.799995,1,-32.8,-57.799995,True
URY_RN_G_E450000_N6375000,Río Negro,-32.8,-57.5,1,-32.8,-57.5,True
URY_RN_G_E475000_N6350000,Río Negro,-33.0,-57.299995,1,-33.0,-57.299995,True
URY_RN_G_E475000_N6375000,Río Negro,-32.8,-57.299995,1,-32.8,-57.299995,True
URY_RN_G_E475000_N6400000,Río Negro,-32.5,-57.299995,1,-32.5,-57.299995,True
URY_RN_G_E500000_N6375000,Río Negro,-32.8,-57.0,1,-32.8,-57.0,True
URY_RN_G_E500000_N6400000,Río Negro,-32.5,-57.0,1,-32.5,-57.0,True
URY_RN_G_E525000_N6400000,Río Negro,-32.5,-56.699997,1,-32.5,-56.699997,True
URY_RO_G_E750000_N6175000,Rocha,-34.5,-54.299995,1,-34.5,-54.299995,True
URY_RO_G_E750000_N6200000,Rocha,-34.3,-54.299995,1,-34.3,-54.299995,True
URY_RO_G_E750000_N6225000,Rocha,-34.1,-54.299995,1,-34.1,-54.299995,True
URY_RO_G_E750000_N6250000,Rocha,-33.899998,-54.299995,1,-33.899998,-54.299995,True
URY_RO_G_E775000_N6200000,Rocha,-34.3,-54.0,1,-34.3,-54.0,True
URY_RO_G_E775000_N6225000,Rocha,-34.1,-54.0,1,-34.1,-54.0,True
URY_RO_G_E775000_N6250000,Rocha,-33.899998,-54.0,1,-33.899998,-54.0,True
