coordenada_id,departamento,fecha_min,fecha_max,dias_observados,dias_esperados,dias_faltantes,porcentaje_completitud
URY_FD_G_E625000_N6225000,Florida,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_FD_G_E625000_N6250000,Florida,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_FD_G_E625000_N6275000,Florida,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_FD_G_E650000_N6300000,Florida,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_FS_G_E500000_N6250000,Flores,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_FS_G_E500000_N6275000,Flores,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_FS_G_E500000_N6300000,Flores,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_FS_G_E525000_N6275000,Flores,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_FS_G_E525000_N6300000,Flores,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_LA_G_E650000_N6200000,Lavalleja,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_LA_G_E650000_N6225000,Lavalleja,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_LA_G_E675000_N6200000,Lavalleja,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_LA_G_E675000_N6225000,Lavalleja,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_LA_G_E675000_N6250000,Lavalleja,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_LA_G_E675000_N6275000,Lavalleja,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_LA_G_E700000_N6225000,Lavalleja,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_LA_G_E700000_N6250000,Lavalleja,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_LA_G_E700000_N6275000,Lavalleja,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_LA_G_E700000_N6300000,Lavalleja,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_LA_G_E725000_N6250000,Lavalleja,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_LA_G_E725000_N6275000,Lavalleja,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_MA_G_E675000_N6150000,Maldonado,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_MA_G_E700000_N6150000,Maldonado,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_MA_G_E700000_N6175000,Maldonado,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_MO_F_RP_E569972_N6146656,Montevideo,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E400000_N6450000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E425000_N6425000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E425000_N6450000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E425000_N6475000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E425000_N6500000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E450000_N6425000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E450000_N6450000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E450000_N6475000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E475000_N6425000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E475000_N6450000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E475000_N6475000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E500000_N6450000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E500000_N6475000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E525000_N6425000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E525000_N6450000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_PA_G_E550000_N6450000,Paysandú,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RN_G_E425000_N6375000,Río Negro,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RN_G_E450000_N6375000,Río Negro,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RN_G_E475000_N6350000,Río Negro,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RN_G_E475000_N6375000,Río Negro,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RN_G_E475000_N6400000,Río Negro,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RN_G_E500000_N6375000,Río Negro,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RN_G_E500000_N6400000,Río Negro,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RN_G_E525000_N6400000,Río Negro,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RO_G_E750000_N6175000,Rocha,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RO_G_E750000_N6200000,Rocha,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RO_G_E750000_N6225000,Rocha,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RO_G_E750000_N6250000,Rocha,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RO_G_E775000_N6200000,Rocha,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RO_G_E775000_N6225000,Rocha,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RO_G_E775000_N6250000,Rocha,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RO_G_E775000_N6275000,Rocha,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RO_G_E800000_N6225000,Rocha,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RO_G_E800000_N6250000,Rocha,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RO_G_E800000_N6275000,Rocha,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RO_G_E800000_N6300000,Rocha,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RV_G_E600000_N6550000,Rivera,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RV_G_E625000_N6525000,Rivera,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RV_G_E625000_N6550000,Rivera,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RV_G_E650000_N6500000,Rivera,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RV_G_E650000_N6525000,Rivera,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RV_G_E650000_N6550000,Rivera,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RV_G_E675000_N6500000,Rivera,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RV_G_E675000_N6525000,Rivera,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RV_G_E700000_N6500000,Rivera,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RV_G_E725000_N6475000,Rivera,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_RV_G_E725000_N6500000,Rivera,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E425000_N6525000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E425000_N6550000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E450000_N6525000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E450000_N6550000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E450000_N6575000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E475000_N6500000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E475000_N6525000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E475000_N6550000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E500000_N6500000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E500000_N6525000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E500000_N6550000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E525000_N6500000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E525000_N6525000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E525000_N6550000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E550000_N6500000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E550000_N6525000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SA_G_E550000_N6550000,Salto,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SJ_G_E500000_N6200000,San José,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SJ_G_E525000_N6175000,San José,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SJ_G_E525000_N6200000,San José,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SJ_G_E525000_N6225000,San José,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SO_G_E375000_N6275000,Soriano,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SO_G_E400000_N6275000,Soriano,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SO_G_E400000_N6300000,Soriano,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SO_G_E425000_N6275000,Soriano,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SO_G_E425000_N6300000,Soriano,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SO_G_E425000_N6325000,Soriano,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SO_G_E450000_N6275000,Soriano,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SO_G_E450000_N6300000,Soriano,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SO_G_E450000_N6325000,Soriano,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_SO_G_E475000_N6275000,Soriano,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E550000_N6400000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E575000_N6400000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E575000_N6425000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E575000_N6450000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E575000_N6500000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E600000_N6400000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E600000_N6425000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E600000_N6450000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E600000_N6475000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E600000_N6500000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E625000_N6425000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E625000_N6450000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E625000_N6475000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E650000_N6425000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E650000_N6450000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E650000_N6475000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E675000_N6425000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E675000_N6450000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TA_G_E700000_N6450000,Tacuarembó,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TT_G_E700000_N6325000,Treinta y Tres,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TT_G_E700000_N6350000,Treinta y Tres,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TT_G_E725000_N6325000,Treinta y Tres,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TT_G_E725000_N6350000,Treinta y Tres,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TT_G_E750000_N6325000,Treinta y Tres,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TT_G_E750000_N6350000,Treinta y Tres,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TT_G_E775000_N6325000,Treinta y Tres,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TT_G_E775000_N6350000,Treinta y Tres,2017-01-02,2025-12-31,3286,3286,0,100.0
URY_TT_G_E800000_N6350000,Treinta y Tres,2017-01-02,2025-12-31,3286,3286,0,100.0
