coordenada_id,departamento_solicitado,departamento_iso,latitud_solicitada,longitud_solicitada,distancia_limite_m,metodo_seleccion,margen_interior_m,latitud_reportada,longitud_reportada,elevacion_reportada_m,distancia_solicitada_reportada_m,departamento_open_meteo,estado_asignacion,mismo_departamento,punto_valido,distancia_limite_nacional_m,tipo_zona,timezone,timezone_abbreviation,utc_offset_seconds,daily_units_json
URY_AR_G_E525000_N6625000,Artigas,UY-AR,-30.50703499999999,-56.739458,24671.372459937764,grid,7500,-30.5,-56.699997,152.0,3866.017085790188,Artigas,mismo_departamento,True,True,24671.372459937764,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_AR_G_E525000_N6650000,Artigas,UY-AR,-30.28143600000001,-56.740056,9419.250083983256,grid,7500,-30.3,-56.699997,128.0,4367.178750202953,Artigas,mismo_departamento,True,True,9419.250083983256,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_AR_G_E550000_N6600000,Artigas,UY-AR,-30.73183900000001,-56.477713,17471.60009044519,grid,7500,-30.7,-56.5,268.0,4123.630023329936,Artigas,mismo_departamento,True,True,26363.184616488226,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_AR_G_E550000_N6625000,Artigas,UY-AR,-30.506253999999995,-56.478923,8081.017171959331,grid,7500,-30.5,-56.5,145.0,2138.006674903517,Artigas,mismo_departamento,True,True,8081.017171959331,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CA_G_E575000_N6175000,Canelones,UY-CA,-34.56402099999999,-56.18242,17046.39022628587,grid,7500,-34.6,-56.199997,43.0,4303.3223403439715,Canelones,mismo_departamento,True,True,28945.811542580082,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CA_G_E600000_N6175000,Canelones,UY-CA,-34.561892,-55.909931,25326.8209819108,grid,7500,-34.6,-55.9,28.0,4323.322759317986,Canelones,mismo_departamento,True,True,25557.136275826586,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CA_G_E625000_N6175000,Canelones,UY-CA,-34.55915499999998,-55.637475,10237.659160292847,grid,7500,-34.6,-55.6,74.0,5686.841763304766,Canelones,mismo_departamento,True,True,22840.652735968968,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CL_G_E675000_N6375000,Cerro Largo,UY-CL,-32.74895399999999,-55.132067,17290.12906401336,grid,7500,-32.7,-55.1,159.0,6205.553118524678,Cerro Largo,mismo_departamento,True,True,133024.75232043624,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CL_G_E700000_N6375000,Cerro Largo,UY-CL,-32.74469399999999,-54.865369,11721.08600657655,grid,7500,-32.7,-54.9,189.0,5925.617346086012,Cerro Largo,mismo_departamento,True,True,115734.70866587514,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
URY_CL_G_E700000_N6400000,Cerro Largo,UY-CL,-32.519327999999994,-54.870716,14393.154522599682,grid,7500,-32.5,-54.9,120.0,3488.2964065894057,Cerro Largo,mismo_departamento,True,True,97674.56101731697,limite_interdepartamental,America/Montevideo,GMT-3,-10800,"{""et0_fao_evapotranspiration"": ""mm"", ""precipitation_sum"": ""mm"", ""relative_humidity_2m_max"": ""%"", ""relative_humidity_2m_min"": ""%"", ""temperature_2m_max"": ""°C"", ""temperature_2m_min"": ""°C"", ""time"": ""iso8601"", ""wind_direction_10m_dominant"": ""°"", ""wind_speed_10m_max"": ""m/s""}"
