coordenada_id,departamento,departamento_iso,latitud,longitud,easting_m,northing_m,distancia_limite_m,metodo_seleccion,margen_interior_m,crs_generacion,separacion_grilla_m,fuente_limite,latitud_reportada,longitud_reportada,departamento_open_meteo,distancia_solicitada_reportada_m,punto_valido
URY_CL_G_E725000_N6425000,Cerro Largo,UY-CL,-32.28920800000001,-54.61069,725000.0,6425000.0,18526.458115057518,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.3,-54.6,Cerro Largo,1564.3327222878065,True
URY_CL_G_E750000_N6400000,Cerro Largo,UY-CL,-32.509195,-54.33884,750000.0,6400000.0,22429.53276770344,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.5,-54.299995,Cerro Largo,3791.5344547664404,True
URY_CL_G_E750000_N6425000,Cerro Largo,UY-CL,-32.28390699999999,-54.345444,750000.0,6425000.0,30497.85093117007,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.3,-54.299995,Cerro Largo,4639.809684473378,True
URY_CL_G_E750000_N6450000,Cerro Largo,UY-CL,-32.058610000000016,-54.351975,750000.0,6450000.0,17164.501868395088,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.1,-54.4,Cerro Largo,6453.910473478395,True
URY_CL_G_E750000_N6475000,Cerro Largo,UY-CL,-31.833304,-54.35843400000001,750000.0,6475000.0,9079.002090276996,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-31.8,-54.4,Cerro Largo,5398.734405309876,True
URY_CL_G_E775000_N6400000,Cerro Largo,UY-CL,-32.50328700000001,-54.073009,775000.0,6400000.0,23420.547143341075,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.5,-54.1,Cerro Largo,2563.881694352539,True
URY_CL_G_E775000_N6425000,Cerro Largo,UY-CL,-32.27804999999999,-54.080271,775000.0,6425000.0,33949.021736624665,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.3,-54.1,Cerro Largo,3064.015483748016,True
URY_CL_G_E775000_N6450000,Cerro Largo,UY-CL,-32.052804,-54.087453,775000.0,6450000.0,13034.659911938155,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.1,-54.1,Cerro Largo,5368.709021852195,True
URY_CL_G_E800000_N6400000,Cerro Largo,UY-CL,-32.49681900000001,-53.80726,800000.0,6400000.0,19733.11853358614,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.5,-53.799995,Cerro Largo,769.0465065007043,True
URY_CL_G_E800000_N6425000,Cerro Largo,UY-CL,-32.271638,-53.815179,800000.0,6425000.0,12634.11395081934,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-32.3,-53.799995,Cerro Largo,3457.545245646251,True
URY_CO_G_E400000_N6250000,Colonia,UY-CO,-33.88562000000001,-58.081391,400000.0,6250000.0,8055.808878091233,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.899998,-58.1,Colonia,2345.9405016105516,True
URY_CO_G_E425000_N6200000,Colonia,UY-CO,-34.33858799999999,-57.815386,425000.0,6200000.0,8631.105321167359,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.3,-57.799995,Colonia,4507.302144794435,True
URY_CO_G_E425000_N6225000,Colonia,UY-CO,-34.11314599999999,-57.813216,425000.0,6225000.0,21108.709772223498,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.1,-57.799995,Colonia,1900.557107052731,True
URY_CO_G_E450000_N6200000,Colonia,UY-CO,-34.340096,-57.543604,450000.0,6200000.0,10065.916976681254,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.3,-57.5,Colonia,5988.45764362109,True
URY_CO_G_E450000_N6225000,Colonia,UY-CO,-34.114642,-57.54215800000001,450000.0,6225000.0,19050.85679441483,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.1,-57.5,Colonia,4213.74314253931,True
URY_CO_G_E475000_N6200000,Colonia,UY-CO,-34.341001,-57.271806,475000.0,6200000.0,10474.60401148028,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.3,-57.299995,Colonia,5234.055643071498,True
URY_CO_G_E475000_N6225000,Colonia,UY-CO,-34.115539000000005,-57.271083,475000.0,6225000.0,18774.32586691152,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-34.1,-57.299995,Colonia,3174.814465413577,True
URY_DU_G_E525000_N6350000,Durazno,UY-DU,-32.988105,-56.732416,525000.0,6350000.0,10990.367463890814,grid,7500,EPSG:32721,25000.0,"geoBoundaries URY ADM1, año representativo 2017, OpenStreetMap/Wambacher",-33.0,-56.699997,Durazno,3303.306287354946,True
